year,county,level,a_y,r_y,n_y,p_y,l_y,ca_y,cl_y,ca_avg_y,cl_avg_y,a_yplus10,l_yplus10
2014,Meeker,Felony,56,41,141,NA,NA,NA,NA,NA,NA,NA,NA
2014,Meeker,Gross Misdemeanor,53,46,138,NA,NA,NA,NA,NA,NA,NA,NA
2014,Meeker,Misdemeanor,84,72,121,NA,NA,NA,NA,NA,NA,NA,NA
2014,Meeker,Juvenile,35,34,38,NA,NA,NA,NA,NA,NA,NA,NA
2014,Mille Lacs,Felony,131,130,354,NA,NA,NA,NA,NA,NA,NA,NA
2014,Mille Lacs,Gross Misdemeanor,133,170,484,NA,NA,NA,NA,NA,NA,NA,NA
2014,Mille Lacs,Misdemeanor,279,291,432,NA,NA,NA,NA,NA,NA,NA,NA
2014,Mille Lacs,Juvenile,79,78,85,NA,NA,NA,NA,NA,NA,NA,NA
2014,Morrison,Felony,136,125,287,NA,NA,NA,NA,NA,NA,NA,NA
2014,Morrison,Gross Misdemeanor,69,78,195,NA,NA,NA,NA,NA,NA,NA,NA
2014,Morrison,Misdemeanor,90,143,135,NA,NA,NA,NA,NA,NA,NA,NA
2014,Morrison,Juvenile,54,72,47,NA,NA,NA,NA,NA,NA,NA,NA
2014,Mower,Felony,149,142,274,NA,NA,NA,NA,NA,NA,NA,NA
2014,Mower,Gross Misdemeanor,151,123,214,NA,NA,NA,NA,NA,NA,NA,NA
2014,Mower,Misdemeanor,233,187,174,NA,NA,NA,NA,NA,NA,NA,NA
2014,Mower,Juvenile,121,120,112,NA,NA,NA,NA,NA,NA,NA,NA
2014,Murray,Felony,11,17,31,NA,NA,NA,NA,NA,NA,NA,NA
2014,Murray,Gross Misdemeanor,6,7,17,NA,NA,NA,NA,NA,NA,NA,NA
2014,Murray,Misdemeanor,20,19,23,NA,NA,NA,NA,NA,NA,NA,NA
2014,Murray,Juvenile,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA
2014,Nicollet,Felony,75,72,191,NA,NA,NA,NA,NA,NA,NA,NA
2014,Nicollet,Gross Misdemeanor,38,63,96,NA,NA,NA,NA,NA,NA,NA,NA
2014,Nicollet,Misdemeanor,84,78,98,NA,NA,NA,NA,NA,NA,NA,NA
2014,Nicollet,Juvenile,51,46,38,NA,NA,NA,NA,NA,NA,NA,NA
2014,Nobles,Felony,72,64,216,NA,NA,NA,NA,NA,NA,NA,NA
2014,Nobles,Gross Misdemeanor,80,61,184,NA,NA,NA,NA,NA,NA,NA,NA
2014,Nobles,Misdemeanor,126,175,184,NA,NA,NA,NA,NA,NA,NA,NA
2014,Nobles,Juvenile,89,77,77,NA,NA,NA,NA,NA,NA,NA,NA
2014,Norman,Felony,11,30,36,NA,NA,NA,NA,NA,NA,NA,NA
2014,Norman,Gross Misdemeanor,10,11,26,NA,NA,NA,NA,NA,NA,NA,NA
2014,Norman,Misdemeanor,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
2014,Norman,Juvenile,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA
